,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
217,CHEMBL4101628,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc3[nH]cnc3c2)c1,inactive,392.48000000000013,4.424220000000003,1.0,4.0,4.318758762624412
218,CHEMBL4082814,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1C[C@H]1CCCO1,active,405.54200000000014,4.147420000000003,1.0,5.0,6.721246399047171
220,CHEMBL4088607,Cc1nc2ccc(-c3ccc(CN4CCC[C@H]4CO)cc3)cc2n1C[C@H]1CCCO1,inactive,405.54200000000014,4.147420000000003,1.0,5.0,4.508638306165727
221,CHEMBL4064624,Cc1nc2ccc(-c3ccc(CN4CCC[C@H]4CO)cc3)cc2n1C[C@@H]1CCCO1,inactive,405.54200000000014,4.147420000000003,1.0,5.0,4.0
222,CHEMBL4091588,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1CCC1CCC1,active,403.57000000000016,5.158620000000005,1.0,4.0,8.096910013008056
223,CHEMBL4086161,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1CCC(C)C,active,391.5590000000001,5.0145200000000045,1.0,4.0,8.154901959985743
224,CHEMBL4104070,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1CC1CCCC1,active,403.57000000000016,5.158620000000005,1.0,4.0,7.958607314841775
225,CHEMBL4093921,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1Cc1ccccc1,active,411.54900000000004,5.016720000000005,1.0,4.0,6.356547323513812
226,CHEMBL4066355,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1CC(C)C,active,377.53200000000004,4.624420000000004,1.0,4.0,6.5376020021010435
227,CHEMBL4101485,Cc1nc2ccc(-c3ccc(CN4CCCC4)cc3)cc2n1C[C@H]1CCCO1,inactive,375.51600000000013,4.786520000000004,0.0,4.0,4.0
228,CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,465.61500000000035,4.504620000000005,1.0,5.0,8.698970004336019
229,CHEMBL3348835,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@H]3CO)cc2)c1,active,465.61500000000035,4.504620000000005,1.0,5.0,7.107905397309519
230,CHEMBL4077280,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CC[C@H](O)C3)cc2)c1,active,451.5880000000003,4.114520000000003,1.0,5.0,8.522878745280337
231,CHEMBL4077075,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CC[C@@H](O)C3)cc2)c1,active,451.5880000000003,4.114520000000003,1.0,5.0,7.552841968657781
232,CHEMBL4061789,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3C[C@@H](O)[C@H](O)C3)cc2)c1,active,467.5870000000003,3.085320000000001,2.0,6.0,8.698970004336019
233,CHEMBL4063424,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3C[C@H](O)[C@H](O)C3)cc2)c1,active,467.5870000000003,3.085320000000001,2.0,6.0,8.4089353929735
234,CHEMBL4103414,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CNCCO)cc2)c1,active,425.55000000000024,3.6298200000000023,2.0,5.0,8.275724130399212
235,CHEMBL4090361,O=S(=O)(Cc1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1)c1ccccc1,active,451.5880000000002,4.196200000000004,1.0,5.0,8.698970004336019
236,CHEMBL4069327,O=S(=O)(Cc1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1)C1CC1,active,415.55500000000023,3.299500000000002,1.0,5.0,8.0
237,CHEMBL4093845,CS(=O)(=O)Cc1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,389.51700000000017,2.7669000000000015,1.0,5.0,6.357535479757878
238,CHEMBL4066270,OC[C@H]1CCCN1Cc1ccc(COc2cccc(C3CCCCC3)c2)cc1,active,379.54400000000027,5.270000000000006,1.0,3.0,9.154901959985743
239,CHEMBL4086094,CC(C)c1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,339.479,4.3457000000000034,1.0,3.0,9.096910013008056
240,CHEMBL4104017,Cc1nc(-c2cccc(OCc3ccc(CN4CCC[C@@H]4CO)cc3)c2)no1,active,379.46000000000004,3.580720000000002,1.0,6.0,8.346787486224656
243,CHEMBL4101628,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc3[nH]cnc3c2)c1,inactive,392.48000000000013,4.424220000000003,1.0,4.0,4.318758762624412
244,CHEMBL4082814,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1C[C@H]1CCCO1,active,405.54200000000014,4.147420000000003,1.0,5.0,7.0915149811213505
247,CHEMBL4064624,Cc1nc2ccc(-c3ccc(CN4CCC[C@H]4CO)cc3)cc2n1C[C@@H]1CCCO1,inactive,405.54200000000014,4.147420000000003,1.0,5.0,4.0
248,CHEMBL4091588,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1CCC1CCC1,active,403.57000000000016,5.158620000000005,1.0,4.0,8.397940008672037
249,CHEMBL4086161,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1CCC(C)C,active,391.5590000000001,5.0145200000000045,1.0,4.0,8.397940008672037
250,CHEMBL4104070,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1CC1CCCC1,active,403.57000000000016,5.158620000000005,1.0,4.0,8.0
251,CHEMBL4093921,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1Cc1ccccc1,active,411.54900000000004,5.016720000000005,1.0,4.0,6.6020599913279625
252,CHEMBL4066355,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1CC(C)C,active,377.53200000000004,4.624420000000004,1.0,4.0,6.356547323513812
253,CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,465.61500000000035,4.504620000000005,1.0,5.0,9.096910013008056
254,CHEMBL3348835,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@H]3CO)cc2)c1,active,465.61500000000035,4.504620000000005,1.0,5.0,7.366531544420414
255,CHEMBL4077280,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CC[C@H](O)C3)cc2)c1,active,451.5880000000003,4.114520000000003,1.0,5.0,10.522878745280337
256,CHEMBL4077075,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CC[C@@H](O)C3)cc2)c1,active,451.5880000000003,4.114520000000003,1.0,5.0,7.522878745280337
257,CHEMBL4061789,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3C[C@@H](O)[C@H](O)C3)cc2)c1,active,467.5870000000003,3.085320000000001,2.0,6.0,9.769551078621726
258,CHEMBL4063424,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3C[C@H](O)[C@H](O)C3)cc2)c1,active,467.5870000000003,3.085320000000001,2.0,6.0,9.0
259,CHEMBL4103414,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CNCCO)cc2)c1,active,425.55000000000024,3.6298200000000023,2.0,5.0,8.455931955649724
260,CHEMBL4090361,O=S(=O)(Cc1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1)c1ccccc1,active,451.5880000000002,4.196200000000004,1.0,5.0,9.522878745280337
261,CHEMBL4069327,O=S(=O)(Cc1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1)C1CC1,active,415.55500000000023,3.299500000000002,1.0,5.0,8.769551078621726
262,CHEMBL4093845,CS(=O)(=O)Cc1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,389.51700000000017,2.7669000000000015,1.0,5.0,6.284832642151542
263,CHEMBL4066270,OC[C@H]1CCCN1Cc1ccc(COc2cccc(C3CCCCC3)c2)cc1,active,379.54400000000027,5.270000000000006,1.0,3.0,10.522878745280337
264,CHEMBL4086094,CC(C)c1cccc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,339.479,4.3457000000000034,1.0,3.0,9.221848749616356
265,CHEMBL4104017,Cc1nc(-c2cccc(OCc3ccc(CN4CCC[C@@H]4CO)cc3)c2)no1,active,379.46000000000004,3.580720000000002,1.0,6.0,8.769551078621726
267,CHEMBL4101573,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc3[nH]c(N)nc3c2)c1,active,407.4950000000002,4.006420000000002,2.0,5.0,6.7447274948966935
268,CHEMBL4101628,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc3[nH]cnc3c2)c1,inactive,392.48000000000013,4.424220000000003,1.0,4.0,4.568636235841013
269,CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,465.61500000000035,4.504620000000005,1.0,5.0,7.698970004336019
