,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,intermediate,327.55300000000005,4.5271000000000035,2.0,3.0,5.2441251443275085
1,CHEMBL495798,CCCCCCCCCCCCCC#CC(=O)[C@@H]1COC(C)(C)N1C(=O)OC(C)(C)C,intermediate,435.6490000000002,6.632000000000008,0.0,4.0,5.481486060122113
2,CHEMBL495816,CCCCCCCCCCCCCC#CC(=O)[C@H](CO)NC(=O)OC(C)(C)C,intermediate,395.5840000000001,5.145600000000005,2.0,4.0,5.920818753952375
3,CHEMBL67166,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,intermediate,299.499,3.924200000000002,3.0,3.0,5.413412695328245
4,CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,intermediate,327.55300000000005,4.5271000000000035,2.0,3.0,5.663540266151471
5,CHEMBL551092,N[C@@H](CO)[C@H](O)/C=C/CCCCCCc1ccc(I)cc1,intermediate,403.3039999999999,3.020900000000001,3.0,3.0,5.402304814074488
6,CHEMBL551232,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCc1ccc(I)cc1,active,431.3579999999999,3.8011000000000026,3.0,3.0,6.301029995663981
7,CHEMBL561025,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCc1ccc(I)cc1,intermediate,445.3849999999999,4.191200000000003,3.0,3.0,5.555955204081924
8,CHEMBL561296,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCc1ccc(I)cc1,intermediate,459.4119999999999,4.581300000000003,3.0,3.0,5.6595558851598815
9,CHEMBL561434,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCc1ccc(I)cc1,intermediate,473.43899999999996,4.9714000000000045,3.0,3.0,5.647817481888637
10,CHEMBL559072,N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCCc1ccc(I)cc1,intermediate,501.49300000000005,5.751600000000005,3.0,3.0,5.400116927926312
11,CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,intermediate,327.55300000000005,4.5271000000000035,2.0,3.0,5.2441251443275085
12,CHEMBL575560,CCCCCCCCc1ccc(NC(=O)[C@H](N)CO)cc1,intermediate,292.423,2.8476999999999997,3.0,3.0,5.301029995663981
13,CHEMBL572985,CCCCCCCCc1ccc(NC(=O)[C@@H](N)CO)cc1,intermediate,292.423,2.8476999999999997,3.0,3.0,5.366531544420414
14,CHEMBL572912,CCCCCCCCc1ccc(NC(=O)C(C)(N)CO)cc1,inactive,306.45000000000005,3.237800000000001,3.0,3.0,5.0
15,CHEMBL575356,CCCCCCCCc1ccc(NC(=O)[C@@H](N)COC)cc1,inactive,306.45000000000005,3.501800000000001,2.0,3.0,5.0
16,CHEMBL572723,CCCCCCCCc1ccc(NC(=O)C(N)C(C)(C)O)cc1,intermediate,320.4770000000001,3.6263000000000014,3.0,3.0,5.6777807052660805
17,CHEMBL583709,CCCCCCCCc1ccc(NC(=O)[C@H](CO)NC)cc1,intermediate,306.45000000000005,3.1084000000000005,3.0,3.0,5.552841968657781
18,CHEMBL427579,CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@@H](C)O)cc1,active,306.45000000000005,3.2362,3.0,3.0,6.187086643357144
19,CHEMBL575748,CCCCCCCCc1ccc(NC(=O)[C@H](N)[C@H](C)O)cc1,intermediate,306.45000000000005,3.2362,3.0,3.0,5.6777807052660805
20,CHEMBL575959,CCCCCCCCc1ccc(NC(=O)[C@H](N)[C@@H](C)O)cc1,intermediate,306.45000000000005,3.2362,3.0,3.0,5.795880017344075
21,CHEMBL575960,CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@H](C)O)cc1,intermediate,306.45000000000005,3.2362,3.0,3.0,5.958607314841775
22,CHEMBL575137,CCCCCCCCc1ccc(NC(=O)[C@@H](N)[C@@H](O)CC)cc1,intermediate,320.4770000000001,3.6263000000000014,3.0,3.0,5.494850021680094
23,CHEMBL584561,CCCCCCCCc1ccc(CNC(=O)C(N)CO)cc1,inactive,306.45000000000005,2.5254000000000003,3.0,3.0,5.0
24,CHEMBL572686,CCCCCCCCc1ccc(NC[C@@H](N)CO)cc1,intermediate,278.44,3.3211000000000004,3.0,3.0,5.301029995663981
25,CHEMBL572687,CCCCCCCCc1ccc(NC(=O)[C@H](N)CCO)cc1,intermediate,306.45000000000005,3.237800000000001,3.0,3.0,5.657577319177793
26,CHEMBL583979,CCCCCCCCc1ccc(NC(=O)[C@@H](N)CCO)cc1,active,306.45000000000005,3.237800000000001,3.0,3.0,7.301029995663981
27,CHEMBL575772,CCCCCCCCc1ccc(NC(=O)C(N)CCO)cc1,active,306.45000000000005,3.237800000000001,3.0,3.0,6.7447274948966935
28,CHEMBL574941,CCCCCCCCc1ccc(NC(=O)C(N)CCCO)cc1,inactive,320.4770000000001,3.6279000000000012,3.0,3.0,5.0
29,CHEMBL568698,CCCCCCCCc1ccc(NC(=O)[C@@H](N)CCCCO)cc1,intermediate,334.50400000000013,4.018000000000002,3.0,3.0,5.3979400086720375
30,CHEMBL585551,CCCCCCCCc1ccc(CNC(=O)C(N)CCO)cc1,intermediate,320.4770000000001,2.9155000000000006,3.0,3.0,5.455931955649724
31,CHEMBL574237,CCCCCCCCc1ccc(NCC(N)CCO)cc1,inactive,292.467,3.7112000000000016,3.0,3.0,5.0
32,CHEMBL574238,CCCCCCCCc1ccc(NC(=O)[C@H]2NCC[C@@H]2O)cc1,active,318.46100000000007,3.2509000000000006,3.0,3.0,7.2076083105017466
33,CHEMBL575357,CCCCCCCCc1ccc(NC(=O)[C@H]2NCC[C@H]2O)cc1,intermediate,318.46100000000007,3.2509000000000006,3.0,3.0,5.468521082957745
34,CHEMBL575358,CCCCCCCCc1ccc(NC(=O)[C@H]2NC[C@@H](O)[C@@H]2O)cc1,intermediate,334.46000000000004,2.2216999999999993,4.0,4.0,5.080921907623926
35,CHEMBL572954,CCCCCCCCc1ccc(CNC(=O)[C@H]2NCC[C@@H]2O)cc1,active,332.4880000000001,2.928600000000001,3.0,3.0,6.366531544420414
36,CHEMBL572955,CCCCCCCCc1ccc(CCNC(=O)[C@H]2NCC[C@@H]2O)cc1,intermediate,346.5150000000001,2.9711000000000007,3.0,3.0,5.207608310501746
37,CHEMBL578596,CCCCCCCCc1ccc(NC[C@H]2NCC[C@@H]2O)cc1,active,304.478,3.7243000000000013,3.0,3.0,6.130768280269024
38,CHEMBL1209686,CC[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1,active,426.5610000000004,3.539600000000002,3.0,6.0,8.0
39,CHEMBL1209685,C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1,active,412.53400000000033,3.1495000000000015,3.0,6.0,7.698970004336019
40,CHEMBL1209617,C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1,active,398.5070000000003,2.759400000000001,3.0,6.0,7.236572006437063
41,CHEMBL1209616,CCCCCCCc1nc(-c2ccc([C@@H](NC(=O)[C@H]3NCC[C@@H]3O)C(C)C)cc2)no1,active,428.57700000000017,3.7856000000000023,3.0,6.0,6.958607314841775
42,CHEMBL1209615,CCCCCCCc1nc(-c2ccc([C@H](CC)NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,414.5500000000002,3.539600000000001,3.0,6.0,7.522878745280337
43,CHEMBL1209614,CCCCCCCc1nc(-c2ccc([C@H](C)NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,400.52300000000014,3.1495000000000006,3.0,6.0,7.318758762624412
44,CHEMBL1209546,CCCCCCCc1nc(-c2ccc([C@@H](C)NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,intermediate,400.52300000000014,3.1495000000000006,3.0,6.0,5.42021640338319
45,CHEMBL1209545,O=C(NCc1ccc(-c2noc(CCc3ccccc3)n2)cc1)[C@H]1NCC[C@@H]1O,active,392.45900000000006,1.8607999999999998,3.0,6.0,6.142667503568731
46,CHEMBL1209544,O=C(NCc1ccc(-c2noc(CCC3CCCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,active,398.50700000000006,2.5885000000000002,3.0,6.0,7.6020599913279625
47,CHEMBL1209543,O=C(NCc1ccc(-c2noc(CCC3CC3)n2)cc1)[C@H]1NCC[C@@H]1O,intermediate,356.426,1.4181999999999995,3.0,6.0,5.301029995663981
48,CHEMBL1209542,O=C(NCc1ccc(-c2noc(CCC3CCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,active,384.48,2.1984,3.0,6.0,7.167491087293763
49,CHEMBL1209464,O=C(NCc1ccc(-c2noc(C3CCCCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,active,384.48,2.5134000000000003,3.0,6.0,6.2076083105017466
50,CHEMBL1209463,O=C(NCc1ccc(-c2noc(C3CCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,intermediate,356.426,1.7331999999999996,3.0,6.0,5.585026652029182
51,CHEMBL1209462,CC1(c2nc(-c3ccc(CNC(=O)[C@H]4NCC[C@@H]4O)cc3)no2)CCCCC1,active,384.48000000000025,2.2973999999999997,3.0,6.0,6.6777807052660805
52,CHEMBL1209461,O=C(NCc1ccc(-c2noc(C3CCCCC3)n2)cc1)[C@H]1NCC[C@@H]1O,active,370.453,2.1233,3.0,6.0,6.42021640338319
53,CHEMBL1209460,CCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,358.4420000000001,1.8082999999999996,3.0,6.0,6.366531544420414
54,CHEMBL1209388,CCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,372.4690000000001,2.1983999999999995,3.0,6.0,7.309803919971486
55,CHEMBL1209387,CCCCCCCc1cc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)n[nH]1,intermediate,384.52400000000006,2.9286000000000003,4.0,4.0,5.958607314841775
56,CHEMBL1209386,CCCCCCCc1cnc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)s1,active,401.5760000000001,3.6620000000000017,3.0,5.0,7.154901959985743
57,CHEMBL1209385,CCCCCCCc1noc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)n1,active,386.4960000000001,2.5885000000000007,3.0,6.0,7.214670164989233
58,CHEMBL1209384,CCCCCCCc1cn(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)nn1,intermediate,385.51200000000006,2.1191999999999993,3.0,6.0,5.958607314841775
59,CHEMBL1209326,CCCCCCCc1nnc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)o1,intermediate,386.49600000000015,2.5885,3.0,6.0,5.657577319177793
60,CHEMBL1209325,CCCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)nn1C,active,399.5390000000001,2.3339999999999996,3.0,6.0,6.214670164989233
61,CHEMBL1209324,CCCCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,400.52300000000014,2.978600000000001,3.0,6.0,7.0655015487564325
62,CHEMBL1209323,CCCCCCCCc1nc(-c2ccc(NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,inactive,386.4960000000001,3.3009000000000013,3.0,6.0,5.0
63,CHEMBL1209322,CCCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,active,386.4960000000001,2.5885000000000007,3.0,6.0,7.167491087293763
64,CHEMBL1209256,CCCCCCCc1nc(-c2ccc(NC(=O)[C@H]3NCC[C@@H]3O)cc2)no1,inactive,372.4690000000001,2.9108,3.0,6.0,5.0
65,CHEMBL574238,CCCCCCCCc1ccc(NC(=O)[C@H]2NCC[C@@H]2O)cc1,active,318.46100000000007,3.2509000000000006,3.0,3.0,7.2076083105017466
